Title,Director,Cast,Country,Genre,Year,Hyperref
365 Days,Barbara BiałowąsTomasz Mandes,"Anna-Maria Sieklucka,Michele Morrone, Bronisław Wrocławski, Otar Saralidze,Magdalena Lamparska,Natasza Urbańska",Poland,thriller,2020,365_Days_(2020_film)
7500,Patrick Vollrath,"Joseph Gordon-Levitt,Aylin Tezel","Germany, Austria, United States",thriller,2020,7500_(film)
Antebellum,Bush + Renz,"Janelle Monáe,Eric Lange,Jena Malone,Jack Huston,Kiersey Clemons,Gabourey Sidibe",United States,thriller,2020,Antebellum_(film)
Archenemy,Adam Egypt Mortimer,"Joe Manganiello,Skylan Brooks, Zolee Griggs,Paul Scheer,Amy Seimetz,Glenn Howerton","United States, United Kingdom",thriller,2020,Archenemy_(film)
Asuraguru,A.Raajdheep,"Vikram Prabhu,Mahima Nambiar,Subbaraju,Yogi Babu",India,thriller,2020,Asuraguru
Aswathama,Ramana Teja,"Naga Shourya,Mehreen Pirzada",India,thriller,2020,Aswathama_(film)
Attack,Lakshya Raj Anand,"John Abraham,Jacqueline Fernandez,Rakul Preet Singh",India,thriller,2020,Attack_(2020_film)
Ava,Tate Taylor,"Jessica Chastain,John Malkovich,Common,Geena Davis,Colin Farrell,Ioan Gruffudd,Joan Chen",United States,thriller,2020,Ava_(2020_film)
Bloodshot,David S. F. Wilson,"Vin Diesel,Eiza González,Sam Heughan,Toby Kebbell",United States,thriller,2020,Bloodshot_(film)
Dead Reckoning,Andrzej Bartkowiak,"KJ Apa,India Eisley,Scott Adkins,James Remar",United States,thriller,2020,Dead_Reckoning_(2020_film)
Earth and Blood,Julien Leclercq,"Sami Bouajila,Eriq Ebouaney,Samy Seghir",France,thriller,2020,Earth_and_Blood
Extraction,Sam Hargrave,"Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Golshifteh Farahani",United States,thriller,2020,Extraction_(2020_film)
A Fall From Grace,Tyler Perry,"Crystal R. Fox,Phylicia Rashad,Bresha Webb,Cicely Tyson, Tyler Perry",United States,thriller,2020,A_Fall_From_Grace
Fatale,Deon Taylor,"Hilary Swank,Michael Ealy,Mike Colter",United States,thriller,2020,Fatale_(film)
Friend of the World,Brian Patrick Butler,"Nick Young,Alexandra Slade,Michael C. Burgess,Kathryn Schott, Kevin Smith, Luke Pensabene,Neil Raymond Ricco",United States,thriller,2020,Friend_of_the_World
God Father,U. Anbarasan,"Natty,Lal,Ananya",India,thriller,2020,God_Father_(2020_film)
Honest Thief,Mark Williams,"Liam Neeson,Kate Walsh,Jai Courtney,Jeffrey Donovan",United States,thriller,2020,Honest_Thief
Horizon Line,Mikael Marcimain,"Alexander Dreymon,Allison Williams",Sweden,thriller,2020,Horizon_Line
Malang,Mohit Suri,"Aditya Roy Kapur,Disha Patani,Anil Kapoor,Kunal Khemu",India,thriller,2020,Malang_(film)
Monster Hunter,Paul W. S. Anderson,"Milla Jovovich,Tony Jaa,Tip ""T. I."" Harris,Meagan Good",United States,thriller,2020,Monster_Hunter_(film)
Paydirt,Christian Sesma,"Luke Gross,Val Kilmer",United States,thriller,2020,Paydirt_(film)
Project Power,"Henry Joost,Ariel Schulman","Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,Rodrigo Santoro,Colson Baker,Allen Maldonado,Amy Landecker,Courtney B. Vance",United States,thriller,2020,Project_Power
Songbird,Adam Mason,"KJ Apa,Sofia Carson,Craig Robinson,Bradley Whitford,Peter Stormare,Alexandra Daddario,Paul Walter Hauser,Demi Moore",United States,thriller,2020,Songbird_(2020_film)
Spell,Mark Tonderai,"Omari Hardwick,Loretta Devine",United States,thriller,2020,Spell_(film)
The Crimes That Bind,Sebastián Schindel,"Cecilia Roth,Miguel Ángel Solá,Sofía Gala Castiglione",Argentina,thriller,2020,The_Crimes_That_Bind_(2020_film)
The Devil All the Time,Antonio Campos,"Tom Holland,Bill Skarsgård,Riley Keough,Jason Clarke,Sebastian Stan,Haley Bennett,Eliza Scanlen,Mia Wasikowska,Robert Pattinson",United States,thriller,2020,The_Devil_All_the_Time_(film)
The Hunt,Craig Zobel,"Ike Barinholtz,Betty Gilpin,Emma Roberts,Hilary Swank",United States,thriller,2020,The_Hunt_(2020_film)
The Last Days of American Crime,Olivier Megaton,"Édgar Ramírez,Anna Brewster,Michael Pitt,Sharlto Copley",United States,thriller,2020,The_Last_Days_of_American_Crime
The Nest,Sean Durkin,"Jude Law,Carrie Coon,Charlie Shotwell, Oona Roche,Adeel Akhtar","United Kingdom, United States, Canada",thriller,2020,The_Nest_(2020_film)
The Night,Kourosh Ahari,"Shahab Hosseini, Niousha Noor, Leah Oganyan, George Maguire","United States, Iran",thriller,2020,The_Night_(2020_film)
The Owners,Julius Berg,"Maisie Williams,Sylvester McCoy,Rita Tushingham, Jake Curran, Ian Kenny, Andrew Ellis","United Kingdom, United States, France",thriller,2020,The_Owners_(2020_film)
The Retreat,Bruce Wemple,"Grant Schumacher, Dylan Grunn, Chris Cimperman",United States,thriller,2020,The_Retreat_(2020_film)
The Rhythm Section,Reed Morano,"Blake Lively,Jude Law,Sterling K. Brown",United States,thriller,2020,The_Rhythm_Section
The Tax Collector,David Ayer,"Bobby Soto, Cinthya Carmona,George Lopez,Shia LaBeouf",United States,thriller,2020,The_Tax_Collector
Unknown Origins,David Galán Galindo,"Javier Rey,Verónica Echegui,Brays Efe,Antonio Resines",Spain,thriller,2020,Unknown_Origins
V,Mohana Krishna Indraganti,"Nani,Sudheer Babu,Nivetha Thomas,Aditi Rao Hydari",India,thriller,2020,V_(2020_film)
Walter,U. Anbarasan,"Sibi Sathyaraj,Nataraj,Samuthirakani,Shirin Kanchwala",India,thriller,2020,Walter_(2020_film)
We Still Say Grace,Brad HelminkJohn Rauschelbach,"Bruce Davison,Holly Taylor,Rita Volk,Arianne Zucker, Dallas Hart, Frankie Wolf, Xavier J. Watson",United States,thriller,2020,We_Still_Say_Grace
Akshara,B. Chinni Krishna,"Nandita Swetha,Sritej,Shakalaka Shankar,Ajay Ghosh,Satya,Madhunandan",India,thriller,2021,Akshara_(film)
Body Brokers,John Swab,"Jack Kilmer,Michael Kenneth Williams,Jessica Rothe,Alice Englert,Peter Greene,Frank Grillo,Melissa Leo",United States,thriller,2021,Body_Brokers
Cold Case,Tanu Balak,Prithviraj Sukumaran,India,thriller,2021,Cold_Case_(film)
Copshop,Joe Carnahan,"Gerard Butler,Frank Grillo,Alexis Louder",United States,thriller,2021,Copshop
Crime Story,Adam Lipsius,"Richard Dreyfuss,Mira Sorvino",United States,thriller,2021,Crime_Story_(2021_film)
Deadly Illusions,Anna Elizabeth James,"Kristin Davis,Dermot Mulroney, Greer Grammer, Shanola Hampton",United States,thriller,2021,Deadly_Illusions
Drishyam 2,Jeethu Joseph,"Mohanlal,Meena,Ansiba Hassan,Esther Anil",India,thriller,2021,Drishyam_2
Fever Dream,Claudia Llosa,"María Valverde,Dolores Fonzi","Chile, Peru, Spain, United States",thriller,2021,Fever_Dream_(film)
Jagame Thandhiram,Karthik Subbaraj,"Dhanush,James Cosmo,Joju George,Aishwarya Lekshmi,Kalaiyarasan, Karpagamoorthy",India,thriller,2021,Jagame_Thandhiram
Last Night in Soho,Edgar Wright,"Thomasin McKenzie,Anya Taylor-Joy,Matt Smith,Terence Stamp",United Kingdom,thriller,2021,Last_Night_in_Soho
Lockdown,Moses Inwang,"Omotola Jalade-Ekeinde,Tony Umez,Charles Awurum",Nigeria,thriller,2021,Lockdown_(2021_Nigerian_film)
Master,Lokesh Kanagaraj,"Vijay,Vijay Sethupathi,Malavika Mohanan,Arjun Das,Andrea Jeremiah,Shanthanu Bhagyaraj",India,thriller,2021,Master_(2021_film)
My Son,Christian Carion,"James McAvoy,Claire Foy",United States,thriller,2021,My_Son_(2021_film)
Net,Bhargav Macharla,"Rahul Ramakrishna,Avika Gor, Praneetha Patnaik, Vishwadev Rachakonda",India,thriller,2021,Net_(film)
Nightmare Alley,Guillermo del Toro,"Bradley Cooper,Cate Blanchett,Toni Collette,Willem Dafoe,Richard Jenkins,Rooney Mara,Ron Perlman,Mary Steenburgen,David Strathairn",United States,thriller,2021,Nightmare_Alley_(2021_film)
No Sudden Move,Steven Soderbergh,"Don Cheadle,Benicio del Toro,David Harbour,Amy Seimetz,Jon Hamm,Ray Liotta,Kieran Culkin,Noah Jupe,Brendan Fraser,Bill Duke,Frankie Shaw,Julia Fox",United States,thriller,2021,No_Sudden_Move
No Time to Die,Cary Joji Fukunaga,"Daniel Craig,Rami Malek,Lashana Lynch,Ben Whishaw,Naomie Harris,Jeffrey Wright,Christoph Waltz,Ralph Fiennes","United Kingdom, United States",thriller,2021,No_Time_to_Die
Nobody,Ilya Naishuller,"Bob Odenkirk,Connie Nielsen,RZA,Aleksei Serebryakov,Christopher Lloyd",United States,thriller,2021,Nobody_(2021_film)
Oxygen,Alexandre Aja,"Mélanie Laurent,Mathieu Amalric,Malik Zidi","United States, France",thriller,2021,Oxygen_(2021_film)
Ram,Jeethu Joseph,"Mohanlal,Trisha,Indrajith Sukumaran",India,thriller,2021,Ram_(film)
Silk Road,Tiller Russell,"Jason Clarke,Nick Robinson,Katie Aselton,Jimmi Simpson,Daniel David Stewart,Darrell Britt-Gibson, Lexi Rabe,Will Ropp,Paul Walter Hauser,Alexandra Shipp",United States,thriller,2021,Silk_Road_(film)
Son,Ivan Kavanagh,"Andi Matichak,Emile Hirsch, Luke David Blumm",Ireland,thriller,2021,Son_(2021_film)
Stowaway,Adam Lipsius,"Anna Kendrick,Daniel Dae Kim,Shamier Anderson,Toni Collette",United States,thriller,2021,Stowaway_(2021_film)
The Gateway,Michele Civetta,"Shea Whigham,Olivia Munn,Zach Avery,Taryn Manning,Mark Boone Junior,Keith David,Frank Grillo,Bruce Dern",United States,thriller,2021,The_Gateway_(2021_film)
The Hole in the Fence,Joaquin del Paso,"Valeria Lamm, Lucciano Kurti, Yubáh Ortega, Erick Walker","Mexico, Poland",thriller,2021,The_Hole_in_the_Fence
The Last Duel,Ridley Scott,"Matt Damon,Adam Driver,Jodie Comer,Ben Affleck",United States,thriller,2021,The_Last_Duel_(2021_film)
The Little Things,John Lee Hancock,"Denzel Washington,Rami Malek,Jared Leto",United States,thriller,2021,The_Little_Things_(2021_film)
The Night House,David Bruckner,"Rebecca Hall,Sarah Goldberg,Stacy Martin,Evan Jonigkeit,Vondie Curtis-Hall",United States,thriller,2021,The_Night_House
The Voyeurs,Michael Mohan,"Sydney Sweeney,Justice Smith,Ben Hardy,Natasha Liu Bordizzo",United States,thriller,2021,The_Voyeurs
The Woman in the Window,Joe Wright,"Amy Adams,Gary Oldman,Anthony Mackie,Fred Hechinger,Wyatt Russell,Brian Tyree Henry,Jennifer Jason Leigh,Julianne Moore",United States,thriller,2021,The_Woman_in_the_Window_(2021_film)
Vanquish,George Gallo,"Morgan Freeman,Ruby Rose",United States,thriller,2021,Vanquish_(film)
Venom: Let There Be Carnage,Andy Serkis,"Tom Hardy,Woody Harrelson,Michelle Williams,Reid Scott,Naomi Harris",United States,thriller,2021,Venom:_Let_There_Be_Carnage
Wild Dog,Ashishor Solomon,"Nagarjuna,Dia Mirza,Saiyami Kher,Atul Kulkarni",India,thriller,2021,Wild_Dog_(film)
Without Remorse,Stefano Sollima,"Michael B. Jordan,Jamie Bell,Jodie Turner-Smith,Luke Mitchell,Jack Kesy,Colman Domingo",United States,thriller,2021,Without_Remorse_(film)
Wrath of Man,Guy Ritchie,"Jason Statham,Holt McCallany,Scott Eastwood,Jeffrey Donovan,Laz Alonso,Josh Hartnett,Post Malone",United States,thriller,2021,Wrath_of_Man
365 Days: This Day,"Barbara Białowąs,Tomasz Mandes","Anna-Maria Sieklucka,Michele Morrone, Rebecca Casiraghi,Magdalena Lamparska",Poland,thriller,2022,365_Days:_This_Day
"Alice, Darling",Mary Nighy,"Anna Kendrick,Kaniehtiio Horn, Charlie Carrick,Wunmi Mosaku","United States, Canada",thriller,2022,"Alice,_Darling"
All the Old Knives,Janus Metz Pedersen,"Chris Pine,Thandiwe Newton,Jonathan Pryce,Laurence Fishburne",United States,thriller,2022,All_the_Old_Knives
Ambulance,Michael Bay,"Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González",United States,thriller,2022,Ambulance_(2022_film)
Bed Rest,Lori Evans Taylor,"Melissa Barrera,Guy Burnet",United States,thriller,2022,Bed_Rest_(film)
Beast,Nelson Dilipkumar,"Vijay,Pooja Hegde",India,thriller,2022,Beast_(2022_Indian_film)
Beast,Baltasar Kormákur,Idris Elba,American,thriller,2022,Beast_(2022_Indian_film)
Bheemla Nayak,Saagar K Chandra,"Pawan Kalyan,Rana Daggubati,Nithya Menen",India,thriller,2022,Bheemla_Nayak
Bullet Train,David Leitch,"Brad Pitt,Joey King,Bad Bunny,Andrew Koji,Aaron Taylor-Johnson,Brian Tyree Henry,Zazie Beetz,Masi Oka,Michael Shannon,Lady Gaga,Logan Lerman,Hiroyuki Sanada,Karen Fukuhara",United States,thriller,2022,Bullet_Train_(film)
Catwoman: Hunted,Shinsuke Terasawa,"Elizabeth Gillies,Stephanie Beatriz,Jonathan Banks,Steve Blum,Lauren Cohan,Keith David,Zehra Fazal,Jonathan Frakes,Kirby Howell-Baptiste,Kelly Hu,Andrew Kishino,Eric Lopez,Jacqueline Obradors,Ron Yuan",United States,thriller,2022,Catwoman:_Hunted
A Day to Die,Wes Miller,"Bruce Willis,Frank Grillo,Leon Robinson,Kevin Dillon",United States,thriller,2022,A_Day_to_Die
Death on the Nile,Kenneth Branagh,"Kenneth Branagh,Tom Bateman,Annette Bening,Russell Brand,Ali Fazal,Dawn French,Gal Gadot,Armie Hammer,Rose Leslie,Emma Mackey,Sophie Okonedo,Jennifer Saunders,Letitia Wright","United States, United Kingdom",thriller,2022,Death_on_the_Nile_(2022_film)
Deep Water,Adrian Lyne,"Ben Affleck,Ana de Armas,Tracy Letts,Rachel Blanchard,Lil Rel Howery",United States,thriller,2022,Deep_Water_(2022_film)
Don't Worry Darling,Olivia Wilde,"Florence Pugh,Harry Styles, Olivia Wilde,Gemma Chan,KiKi Layne,Nick Kroll,Chris Pine",United States,thriller,2022,Don%27t_Worry_Darling
Emancipation,Antoine Fuqua,"Will Smith,Ben Foster",United States,thriller,2022,Emancipation_(2022_film)
KIMI,Steven Soderbergh,"Zoë Kravitz,Byron Bowers,Jaime Camil,Jacob Vargas,Devin Ratray",United States,thriller,2022,KIMI_(film)
Master,Mariama Diallo,"Regina Hall,Zoe Renee,Amber Gray,Molly Bernard, Nike Kadri",United States,thriller,2022,Master_(2021_film)
Memory,Martin Campbell,"Liam Neeson,Guy Pearce,Monica Bellucci, Harold Torres,Taj Atwal,Ray Fearon",United States,thriller,2022,Memory_(2022_film)
Monkey Man,Dev Patel,"Dev Patel,Sharlto Copley",United States,thriller,2022,Monkey_Man_(film)
Mr. Harrigan's Phone,John Lee Hancock,"Jaeden Martell,Donald Sutherland,Kirby Howell-Baptiste,Joe Tippett",United States,thriller,2022,Mr._Harrigan%27s_Phone_(film)
Prey,Dan Trachtenberg,"Amber Midthunder,Dane DiLiegro",United States,thriller,2022,Prey_(2022_film)
Run Sweetheart Run,Shana Feste,"Ella Balinska,Pilou Asbæk,Clark Gregg,Aml Ameen,Dayo Okeniyi,Betsy Brandt,Shohreh Aghdashloo",United States,thriller,2022,Run_Sweetheart_Run
Salaar,Prashanth Neel,"Prabhas,Shruti Haasan",India,thriller,2022,Salaar:_Part_1_%E2%80%93_Ceasefire
Samaritan,Julius Avery,"Sylvester Stallone,Martin Starr,Moisés Arias,Dascha Polanco",United States,thriller,2022,Samaritan_(2022_film)
Scream,Matt Bettinelli-OlpinTyler Gillett,"Melissa Barrera,Jenna OrtegaMason Gooding,Dylan Minnette, ,Jack Quaid,Marley Shelton,Courteney Cox,David Arquette,Neve Campbell",United States,thriller,2022,Scream_(2022_film)
The 355,Simon Kinberg,"Jessica Chastain,Lupita Nyong'o,Penélope Cruz,Diane Kruger,Fan Bingbing,Sebastian Stan,Édgar Ramírez",United States,thriller,2022,The_355
The Batman,Matt Reeves,"Robert Pattinson,Zoë Kravitz,Paul Dano,Jeffrey Wright,John Turturro,Peter Sarsgaard,Jayme Lawson,Andy Serkis,Colin Farrell",United States,thriller,2022,The_Batman_(film)
The Black Phone,Scott Derrickson,"Jeremy Davies,Ethan Hawke,James Ransone",United States,thriller,2022,The_Black_Phone
The Contractor,Tarik Saleh,"Chris Pine,Ben Foster,Kiefer Sutherland,Eddie Marsan,Gillian Jacobs",United States,thriller,2022,The_Contractor_(2022_film)
The Devil's Light,Daniel Stamm,"Virginia Madsen,Ben Cross,Colin Salmon,Jacqueline Byers",United States,thriller,2022,The_Devil%27s_Light
The Gray Man,"Anthony Russo,Joe Russo","Ryan Gosling,Chris Evans,Ana de Armas,Jessica Henwick,Dhanush,Julia Butters,Regé-Jean Page,Billy Bob Thornton,Alfre Woodard",United States,thriller,2022,The_Gray_Man_(2022_film)
The Northman,Robert Eggers,"Alexander Skarsgård,Nicole Kidman,Anya Taylor-Joy,Björk,Ralph Ineson,Ethan Hawke,Willem Dafoe,Kate Dickie",United States,thriller,2022,The_Northman
The Pale Blue Eye,Scott Cooper,"Christian Bale,Harry Melling,Gillian Anderson,Robert Duvall,Timothy Spall,Lucy Boynton,Charlotte Gainsbourg,Toby Jones,Harry Lawtey",United States,thriller,2022,The_Pale_Blue_Eye
Valimai,H. Vinoth,"Ajith Kumar,Huma Qureshi,Kartikeya Gummakonda",India,thriller,2022,Valimai
Vikram,Lokesh Kanagaraj,"Kamal Haasan,Vijay Sethupathi,Fahadh Faasil",India,thriller,2022,Vikram_(2022_film)
Violent Night,Tommy Wirkola,"David Harbour,John Leguizamo,Beverly D'Angelo,Alex Hassell,Alexis Louder",United States,thriller,2022,Violent_Night
Where the Crawdads Sing,Olivia Newman,"Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,David Strathairn,Jayson Warner Smith",United States,thriller,2022,Where_the_Crawdads_Sing_(film)
Marlowe,Neil Jordan,"Liam Neeson,Diane Kruger,Jessica Lange,Adewale Akinnuoye-Agbaje,Alan Cumming,Danny Huston,Ian Hart,Colm Meaney,Daniela Melchior,François Arnaud",United States,thriller,2022,Marlowe_(2022_film)
22 Bullets,Richard Berry,"Jean Reno,Kad Merad,Richard Berry",France,thriller,2010,22_Bullets
The A-Team,Joe Carnahan,"Liam Neeson,Bradley Cooper,Quinton Jackson",United States,thriller,2010,The_A-Team_(film)
Abandoned,Michael Feifer,"Brittany Murphy,Dean Cain,Mimi Rogers",United States,thriller,2010,Abandoned_(2010_film)
The American,Anton Corbijn,"George Clooney,Paolo Bonacelli,Thekla Reuten",United States,thriller,2010,The_American_(2010_film)
Black Swan,Darren Aronofsky,"Natalie Portman,Mila Kunis,Vincent Cassel",United States,thriller,2010,Black_Swan_(film)
Buried,Rodrigo Cortés,"Ryan Reynolds,Ivana Miño,Anne Lockhart",Spain,thriller,2010,Buried_(film)
Cold Fish,Sion Sono,"Denden,Megumi Kagurazaka,Tetsu Watanabe",Japan,thriller,2010,Cold_Fish
Confessions,Tetsuya Nakashima,Takako Matsu,Japan,thriller,2010,Confessions_(2010_film)
The Crazies,Breck Eisner,"Timothy Olyphant,Radha Mitchell,Danielle Panabaker",United States,thriller,2010,The_Crazies_(2010_film)
Devil,John Erick Dowdle,"Chris Messina,Logan Marshall-Green,Jenny O'Hara",United States,thriller,2010,Devil_(2010_film)
Edge of Darkness,Martin Campbell,"Mel Gibson,Danny Huston,Ray Winstone",United KingdomUnited States,thriller,2010,Edge_of_Darkness_(2010_film)
The Experiment,Paul Scheuring,"Adrien Brody,Forest Whitaker,Cam Gigandet",United States,thriller,2010,The_Experiment_(2010_film)
Fair Game,Doug Liman,"Naomi Watts,Sean Penn,Bruce McGill",United States,thriller,2010,Fair_Game_(2010_film)
From Paris with Love,Pierre Morel,"John Travolta,Jonathan Rhys Meyers,Kasia Smutniak",FranceUnited States,thriller,2010,From_Paris_with_Love_(film)
Frozen,Adam Green,"Emma Bell,Shawn Ashmore,Kevin Zegers",United States,thriller,2010,Frozen_(2010_American_film)
The Ghost Writer,Roman Polanski,"Ewan McGregor,Pierce Brosnan,Kim Cattrall",GermanyUnited KingdomFrance,thriller,2010,The_Ghost_Writer_(film)
Golden Slumber,Yoshihiro Nakamura,"Masato Sakai,Yuko Takeuchi,Hidetaka Yoshioka",Japan,thriller,2010,/w/index.php?title=Golden_Slumber_(2010_film)&action=edit&redlink=1
Green Zone,Paul Greengrass,"Matt Damon,Greg Kinnear,Brendan Gleeson",FranceUnited KingdomUnited States,thriller,2010,Green_Zone_(film)
I Saw the Devil,Kim Jee-woon,"Lee Byung-hun,Choi Min-sik",South Korea,thriller,2010,I_Saw_the_Devil
Killers,Robert Luketic,"Ashton Kutcher,Katherine Heigl,Tom Selleck",United States,thriller,2010,Killers_(2010_film)
Legion,Scott Stewart,"Paul Bettany,Lucas Black,Tyrese Gibson",United States,thriller,2010,Legion_(2010_film)
Life Is an Art,Jayant R. Harnam,"Alison Carroll,Martin Swabey",Netherlands,thriller,2010,/w/index.php?title=Life_Is_an_Art_(film)&action=edit&redlink=1
The Losers,Sylvain White,"Jeffrey Dean Morgan,Chris Evans,Jason Patric",United States,thriller,2010,The_Losers_(2010_film)
Love Crime,Alain Corneau,"Ludivine Sagnier,Kristin Scott Thomas,Gérald Laroche",France,thriller,2010,Love_Crime
The Next Three Days,Paul Haggis,"Russell Crowe,Elizabeth Banks,Liam Neeson",United States,thriller,2010,The_Next_Three_Days
Salt,Phillip Noyce,"Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor",United States,thriller,2010,Salt_(2010_film)
Secret Reunion,Jang Hoon,"Song Kang-ho,Kang Dong-won,Jeon Guk-hwan",South Korea,thriller,2010,Secret_Reunion
The Hunter,Rafi Pitts,"Rafi Pitts,Mitra Hajjar",GermanyIran,thriller,2010,The_Hunter_(2010_film)
Shutter Island,Martin Scorsese,"Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley",United States,thriller,2010,Shutter_Island_(film)
Smokin' Aces 2: Assassins' Ball,P. J. Pesce,"Tom Berenger,Clayne Crawford,Tommy Flanagan",United States,thriller,2010,Smokin%27_Aces_2:_Assassins%27_Ball
The Tourist,Florian Henckel von Donnersmarck,"Angelina Jolie,Johnny Depp,Timothy Dalton",United States,thriller,2010,The_Tourist_(2010_film)
The Town,Ben Affleck,"Ben Affleck,Rebecca Hall,Jon Hamm",United States,thriller,2010,The_Town_(2010_film)
Unstoppable,Tony Scott,"Denzel Washington,Chris Pine,Rosario Dawson",United States,thriller,2010,Unstoppable_(2010_film)
Unthinkable,Gregor Jordan,"Samuel L. Jackson,Carrie-Anne Moss,Michael Sheen",United States,thriller,2010,Unthinkable
Abduction,John Singleton,"Taylor Lautner,Frank Molina,Lily Collins",United States,thriller,2011,Abduction_(2011_film)
A Morass,Shane James Bordas,"Nina Hatchwell,Alessandro Giuggioli",United Kingdom,thriller,2011,/w/index.php?title=A_Morass&action=edit&redlink=1
Blind Turn,Robert Orr,"Rachel Boston,Jay Dee Walters,John Gabriel Rodriquez",United States,thriller,2011,/w/index.php?title=Blind_Turn&action=edit&redlink=1
The Devil's Double,Lee Tamahori,"Dominic Cooper,Ludivine Sagnier,Raad Rawi",Belgium,thriller,2011,The_Devil%27s_Double
Drive,Nicolas Winding Refn,"Ryan Gosling,Carey Mulligan,Bryan Cranston",United States,thriller,2011,Drive_(2011_film)
Drive Angry,Patrick Lussier,"Nicolas Cage,Amber Heard,William Fichtner",United States,thriller,2011,Drive_Angry
Elephant White,Prachya Pinkaew,"Kevin Bacon,Djimon Hounsou,Jirantanin Pitakorntrakul",United States,thriller,2011,Elephant_White
The Girl with the Dragon Tattoo,David Fincher,"Daniel Craig,Rooney Mara,Christopher Plummer",United States,thriller,2011,The_Girl_with_the_Dragon_Tattoo_(2011_film)
Hanna,Joe Wright,"Saoirse Ronan,Eric Bana,Tom Hollander",United States,thriller,2011,Hanna_(film)
I Am Number Four,D. J. Caruso,"Alex Pettyfer,Timothy Olyphant,Teresa Palmer",United States,thriller,2011,I_Am_Number_Four_(film)
The Ides of March,George Clooney,"Ryan Gosling,George Clooney,Philip Seymour Hoffman",United States,thriller,2011,The_Ides_of_March_(2011_film)
The Ledge,Matthew Chapman,"Charlie Hunnam,Terrence Howard,Liv Tyler",United States,thriller,2011,The_Ledge_(film)
Limitless,Neil Burger,"Bradley Cooper,Robert De Niro,Abbie Cornish",United States,thriller,2011,Limitless_(film)
The Lincoln Lawyer,Brad Furman,"Matthew McConaughey,Marisa Tomei,Ryan Phillippe",United States,thriller,2011,The_Lincoln_Lawyer_(film)
Martha Marcy May Marlene,T. Sean Durkin,"Elizabeth Olsen,Sarah Paulson,John Hawkes",United States,thriller,2011,Martha_Marcy_May_Marlene
Requiem pour une tueuse,Jérôme Le Gris,Mélanie Laurent,France,thriller,2011,/w/index.php?title=Requiem_pour_une_tueuse&action=edit&redlink=1
The Resident,Antti Jokinen,"Hilary Swank,Jeffrey Dean Morgan,Christopher Lee",United States,thriller,2011,The_Resident_(film)
The Roommate,Christian E. Christiansen,"Leighton Meester,Minka Kelly,Cam Gigandet",United States,thriller,2011,The_Roommate
Season of the Witch,Dominic Sena,"Nicolas Cage,Ron Perlman,Stephen Campbell Moore",United States,thriller,2011,Season_of_the_Witch_(2011_film)
The Skin I Live In,Pedro Almodóvar,"Antonio Banderas,Elena Anaya,Marisa Paredes",Spain,thriller,2011,The_Skin_I_Live_In
Sleepless Night,Frédéric Jardin,"Tomer Sisley,Serge Riaboukine,Julien Boisselier",FranceBelgiumLuxembourg,thriller,2011,Sleepless_Night_(2011_film)
Source Code,Duncan Jones,"Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga",CanadaUnited States,thriller,2011,Source_Code
Trespass,Joel Schumacher,"Nicolas Cage,Nicole Kidman,Ben Mendelsohn",United States,thriller,2011,Trespass_(2011_film)
Unknown,Jaume Collet-Serra,"Liam Neeson,Diane Kruger,January Jones",GermanyUnited States,thriller,2011,Unknown_(2011_film)
Wrecked,Michael Greenspan,"Adrien Brody,Caroline Dhavernas,Ryan Robbins",Canada,thriller,2011,Wrecked_(film)
X,Jon Hewitt,"Viva Bianca,Hanna Mangan-Lawrence,Peter Docker",United States,thriller,2011,X_(2011_film)
Act of Valor,"Scott Waugh,Mike ""Mouse"" McCoy","Emilio Rivera,Roselyn Sánchez,Alex Veadov",United States,thriller,2012,Act_of_Valor
The Apparition,Todd Lincoln,"Ashley Greene,Sebastian Stan,Tom Felton",United States,thriller,2012,The_Apparition_(2012_film)
Bending the Rules,Artie Mandelburg,"Jamie Kennedy,Edge",United States,thriller,2012,Bending_the_Rules
The Body,Oriol Paulo,"José Coronado,Belén Rueda",Spain,thriller,2012,The_Body_(2012_film)
Black & White Episode I: The Dawn of Assault,Tsai Yueh-hsun,"Mark Chao,Huang Bo,Angelababy",Taiwan,thriller,2012,Black_%26_White_Episode_I:_The_Dawn_of_Assault
Chronicle,Josh Trank,"Dane DeHaan,Alex Russell,Michael B. Jordan",United States,thriller,2012,Chronicle_(film)
Compliance,Craig Zobel,"Ann Dowd,Dreama Walker,Pat Healy",United States,thriller,2012,Compliance_(film)
Contraband,Baltasar Kormákur,"Mark Wahlberg,Kate Beckinsale,Ben Foster",United States,thriller,2012,Contraband_(2012_film)
Elfie Hopkins,Ryan Andrews,"Jaime Winstone,Ray Winstone,Steven Mackintosh",United Kingdom,thriller,2012,Elfie_Hopkins
Ghost Rider: Spirit of Vengeance,"Mark Neveldine,Brian Taylor","Nicolas Cage,Ciarán Hinds,Violante Placido",United States,thriller,2012,Ghost_Rider:_Spirit_of_Vengeance
