,Title,Rating
1032,"Flying Dragon, Leaping Tiger",5.2
1033,Half Past Dead,4.6
1034,Hari ng Selda: Anak ni Baby Ama 2,7.7
1035,Gangsters,6.4
1036,Huwag Mong Takasan ang Batas,
1037,Mano Mano 2: Ubusan ng Lakas,8.3
1038,Muscle Heat,5.1
1039,Naked Weapon,5.5
1040,Old Men in New Cars,6.7
1041,Pistolero,7.1
1042,The Red Siren,5.2
1043,Returner,6.4
1044,So Close,6.6
1045,Spider-Man,8.7
1046,Star Wars Episode II: Attack of the Clones,6.6
1047,Steal,5.4
1048,Sympathy for Mr Vengeance,
1049,Tongan Ninja,6.0
1050,Tsui Hark's Vampire Hunters,4.7
1051,Undercover Brother,5.9
1053,Yesterday,6.8
1054,Bad Boys II,6.6
1055,Belly of the Beast,4.6
1056,Bertud ng Putik,6.7
1057,Biker Boyz,4.6
1058,Bulletproof Monk,5.4
1059,Captain Barbell,4.9
1060,Charlie's Angels: Full Throttle,4.9
1061,The Core,5.5
1062,Daredevil,8.6
1063,Drunken Monkey,5.9
1064,Fantastic Man,5.7
1065,The Hebrew Hammer,6.1
1066,Heroic Duo,5.8
1067,Hollywood Homicide,5.3
1068,Hulk,5.6
1069,The Hunted,5.4
1070,In Hell,6.1
1071,Lara Croft Tomb Raider: The Cradle of Life,5.5
1072,Lastikman,6.0
1073,Looking for Mr Perfect,6.7
1074,A Man Apart,6.0
1075,Masamang Ugat,
1076,"The Matrix Reloaded andy wachowski, larry wachowski",
1077,"The Matrix Revolutions andy wachowski, larry wachowski",
1078,The Medallion,5.2
1080,Ong-Bak: Muay Thai Warrior,7.1
1081,Onmyoji 2,6.0
1082,PTU,7.0
1084,SWAT,7.2
1085,Taxi 3,5.8
1086,Tube,5.7
1087,Warriors of Heaven and Earth,8.2
1088,When Eagles Strike,
1089,You and Me Against the World,6.3
1090,Zatoichi,7.5
1091,Astigmatism,5.2
1092,Blast,6.7
1093,The Bodyguard,6.3
1094,Born to Fight,4.9
1095,Breaking News,5.8
1096,Casshern,6.0
1097,Catwoman,3.4
1099,Enter the Phoenix,5.5
1100,Gagamboy,5.6
1101,Izo,6.0
1103,Kung Fu Hustle,7.7
1104,Lastikman: Unang Banat,5.3
1106,Mano Mano 3: Arnis the Lost Art,6.0
1108,One Nite in Mongkok,7.1
1109,Silver Hawk,5.1
1110,Spider-Man 2,7.5
1111,Taxi,8.2
1112,Throw Down,8.6
1114,Twins Effect II,4.8
1115,Volta,8.5
1116,Walking Tall,6.3
1117,The White Dragon,
1118,Zebraman,6.5
1119,on Flux,5.4
1120,Azumi 2: Death or Love,6.2
1121,Black Dawn,3.8
1122,Divergence,6.6
1124,Dragon Squad,5.3
1125,Elektra,4.7
1126,Four Brothers,6.8
1128,House of Fury,6.1
1129,Initial D,6.3
1130,Into the Blue,5.9
1131,Kung Fu Mahjong,5.6
1132,Les Chevaliers du ciel,5.7
1133,Mr and Mrs Smith,6.5
1134,The Myth,6.1
1135,Pit Fighter,4.3
1136,Sahara,6.0
1137,Seven Swords,6.1
1138,SPL: Sha Po Lang,
1139,Terrorist Hunter,
1140,The Tiger Blade,4.4
1141,Tom-Yum-Goong,7.0
1143,Unleashed,7.0
1144,Uno,5.5
1146,AI Assault,2.9
1147,Apoy sa Dibdib ng Samar,5.0
1148,Attack Force,2.7
1149,Batas Militar,
1150,A Battle of Wits,
1151,"Bon Cop, Bad Cop",6.7
1153,Cicak Man,3.4
1154,The City of Violence,
1155,Curse of the Golden Flower,6.4
1156,DOA: Dead or Alive,4.8
1157,Dragon Tiger Gate,6.1
1158,Dynamite Warrior,5.1
1159,Election 2,7.4
1160,End Game,5.1
1163,Fatal Contact,6.5
1164,Fearless,7.6
1165,The Guardian,7.4
1166,Horrors of War,2.9
1167,Kiltro,5.5
1168,Lagot Ka sa Kuya Ko,8.0
1169,Mercury Man,4.2
1171,Rob-B-Hood,6.6
1172,Smokin' Aces,6.6
1173,Tatlong Baraha,5.6
1174,Two Tigers,5.9
1175,Ultimate Avengers The Movie,6.6
1176,Undisputed II: Last Man Standing,7.0
1177,V For Vendetta,8.2
1178,Yo-Yo Girl Cop,5.0
1179,Agent X44,6.1
1180,Black Belt,6.2
1182,The Condemned,6.0
1183,Eye in the Sky yau nai hoi,
1185,Ghost Rider,5.3
1187,Invisible Target,6.7
1188,Kill Buljo,5.6
1189,The King of the Mountain,5.4
1190,Lady Ninja Kasumi,5.1
1191,Postal,4.5
1192,The Rebel,7.8
1193,Redline andy cheng,
1194,Resiklo,3.3
1195,Rise of the Footsoldier,6.3
1196,Scorpion,7.0
1198,Shoot 'Em Up,6.6
1199,Superman: Doomsday,6.9
1200,"Triangle tsui hark,ringo lam,johnnie to",
1201,Twins Mission,5.2
1202,Until Death,5.7
1203,The Warlords,7.0
1204,Anak ng Kumander,4.3
1205,Batman: Gotham Knight,6.6
1206,Be a Man Samurai School,6.7
1207,Beast Stalker,6.8
1208,The Chaser,7.8
1209,Chocolate,6.7
1210,Cicakman 2 Planet Hitam,3.3
1211,Connected,6.6
1212,Cyborg Soldier,7.4
1213,The Dark Knight,9.0
1214,Doomsday,5.9
1215,An Empress and the Warriors,5.8
1216,Far Cry,3.2
1217,Fatal Move,5.7
1218,Get Smart,6.5
1219,Go Fast,5.8
1220,Hancock,6.4
1221,Hell Ride,5.0
1222,The Hurt Locker,7.5
1223,Ichi,7.0
1224,Ip Man,8.0
1225,Justice League: The New Frontier,6.9
1226,K-20: Legend of the Mask,6.6
1227,Kung Fu Panda,7.6
1228,Legendary Assassin,6.1
1229,Les Insoumis,5.7
1231,Mutant Chronicles,5.2
1232,Never Back Down,
1233,Ong Bak 2,6.2
1234,Pineapple Express,6.9
1235,Punisher: War Zone,5.9
1237,Rough Cut,5.6
1240,Transporter 3,6.1
1241,Tropic Thunder,7.1
1242,Wanted,6.7
1243,Angel of Death,6.5
1244,Assault Girls,3.8
1245,Bangkok Adrenaline,4.7
1246,Bitch Slap,4.5
1247,Black Dynamite,7.4
1248,The Bleeding,3.0
1249,Blood and Bone,6.7
1250,Bodyguards and Assassins,6.8
1251,Clash,5.8
1252,Coweb,5.1
1253,District B13 Ultimatum,6.5
1254,Fast & Furious,6.5
1255,Fighting,5.6
1256,Fireball,7.2
1257,"Give 'Em Hell, Malone",5.8
1258,Green Lantern: First Flight,7.1
1259,Kung Fu Cyborg,4.7
1260,The Marine 2,4.9
1261,Marine Boy,7.4
1262,Merantau,6.7
1263,Mulan jingle ma,
1264,Ninja,7.2
1265,Ninja Assassin,6.3
1266,Ang Panday,5.6
1267,Paul Blart: Mall Cop,5.3
1268,Power Kids,5.6
1270,Raging Phoenix,6.0
1271,Robo Geisha,5.2
1272,Running Turtle,6.6
1273,Samurai Princess,4.3
1274,The Sniper,6.4
1275,The Storm Warriors,5.2
1277,Superman/Batman: Public Enemies,7.1
1278,The Tournament,6.0
1279,Turning Point,6.8
1280,Universal Soldier: Regeneration,5.3
1282,Zone of the Dead,3.8
1283,1 Night in San Diego,3.5
1284,3 Monkeys,7.3
1285,23 Walks,6.0
1286,Airplane Mode,1.9
1288,Bad Trip,6.5
1289,"Berlin, Berlin",8.4
1292,Blithe Spirit,5.4
1293,Borat Subsequent Moviefilm,6.6
1295,Coastal Elites,6.3
1296,Cocktail ra vijaya murugan,
1297,Coolie No 1,6.6
1298,Crazy Awesome Teachers,6.2
1299,Curveball,6.9
1300,Downhill,4.9
1301,Emma,6.7
1303,Feel the Beat,6.3
1305,Hubie Halloween,5.2
1306,Impractical Jokers: The Movie,5.8
1307,Like a Boss,4.7
1308,Magic Camp,6.3
1309,Mighty Oak,5.1
1311,Naan Sirithal,5.5
1312,"Ok, It's Fine",7.2
1313,On the Rocks,6.4
1314,Over the Moon,6.3
1315,Palm Springs,7.4
1316,Players,7.3
1317,Reboot Camp,4.5
1319,Seriously Single,4.6
1322,The Croods: A New Age,6.9
1324,The King of Staten Island,7.1
1325,The Kissing Booth 2,5.7
1326,The Lovebirds,6.1
1327,The Players stefano mordini,
1328,The Princess Switch: Switched Again,5.4
1329,The Prom,5.9
1330,The Sleepover,5.7
1331,The Thing About Harry,6.9
1332,The Wrong Missy,5.7
1333,Timmy Failure: Mistakes Were Made,6.0
1334,To All the Boys: PS I Still Love You,6.0
1335,Tolo Tolo,5.7
1336,Trolls: World Tour,6.1
1337,Valley Girl,6.4
1338,Work It,6.2
1339,14 Phere,6.3
1341,Barb and Star Go to Vista Del Mar,6.3
1342,Big Red Envelope,4.4
1343,Breaking News in Yuba County,5.8
1344,Clifford the Big Red Dog,5.9
1345,Coming 2 America,5.3
1346,Flora & Ulysses,6.2
1347,He's All That,4.4
1348,"Hi, Mom",6.1
1349,Locked Down,5.3
1350,Princess Daya Reese,6.7
1351,Rang De,8.1
1353,Rumble,6.2
1354,Sing 2,7.4
1355,South Park: Post Covid,5.4
1356,The Boss Baby: Family Business,5.9
1358,The Kissing Booth 3,4.8
1360,The Last Warrior: Root of Evil,5.9
1361,The Last Warrior 3,6.4
1362,The Princess Switch 3,5.5
1363,Red Rocket,7.1
1364,The Starling,6.4
1366,"To All the Boys: Always and Forever, Lara Jean",6.3
1367,Tom and Jerry,5.2
1368,Yes Day,5.7
1369,Werewolves Within,6.0
1370,Zombie Reddy,6.6
1371,13: The Musical,5.3
1372,A Man Called Otto,7.5
1373,About Fate,6.4
1374,Amsterdam,6.1
1375,Another Me,4.6
1376,Anything's Possible,5.7
1377,Beavis and Butt-Head Do the Universe,7.0
1378,Bhediya,6.8
1379,Bob's Burgers: The Movie,6.9
1380,Bros,7.1
1381,Cheaper by the Dozen gail lerner,
1382,Chip 'n Dale: Rescue Rangers,7.0
1383,DC League of Super-Pets,7.1
1384,Do Revenge,6.3
1385,Dog,6.5
1386,Easter Sunday,5.3
1387,Jackass Forever,6.8
1388,Kung Fu Ghost,4.0
1389,Laal Singh Chaddha,5.6
1390,Luck,6.4
1391,Marry Me,6.1
1392,Minions: The Rise of Gru,6.5
1393,Paws of Fury: The Legend of Hank,5.7
1394,Puss in Boots: The Last Wish,7.8
1395,Rosaline,6.5
1397,Sneakerella,4.9
1398,South Park: The Streaming Wars,6.7
1399,South Park: The Streaming Wars Part 2,6.7
1400,Tall Girl 2,4.7
1401,The Bad Guys,
1402,The Out-Laws,5.4
1403,The Valet,6.7
1404,Ticket to Paradise,6.1
1405,Too Cool to Kill,6.1
1406,Tower of Strength,
1407,White Noise noah baumbach,
1408,Barney's Version,7.3
1410,Burke and Hare,6.1
1411,Cannonball Wedlock,6.4
1412,Casino Jack,6.2
1413,Cemetery Junction,6.8
1414,The Clink of Ice,6.2
1416,Cyrano Agency,6.9
1417,Cyrus,6.3
1419,Death at a Funeral,7.3
1420,"Despicable Me chris renaud,pierre coffin",
1421,Diary of a Wimpy Kid,6.2
1422,Dinner for Schmucks,5.9
1423,The Drummond Will,5.8
1424,Due Date,6.5
1425,Easy A,7.0
1426,The Extra Man,5.8
1427,Flipped,7.7
1428,Four Lions,7.3
1429,Foxy Festival,5.9
1430,FUBAR 2,6.5
1431,Get Him to the Greek,6.3
1432,Going the Distance,6.3
1433,Greenberg,6.2
1434,Griff the Invisible,6.0
1435,Grown Ups,6.0
1436,Gunless,6.4
1437,Hahaha,6.8
1438,Happythankyoumoreplease,6.7
1439,Heartbreaker,6.7
1440,Hello Stranger,7.5
1441,Here Comes the Bride,6.5
1442,Hesher,6.9
1443,Hospitalite,6.4
1444,Hot Tub Time Machine steve pink,6.4
1445,How Do You Know,5.4
1446,It's Kind of a Funny Story,7.1
1447,Jack Goes Boating,6.3
1448,Jackass 3D,
1450,Just Wright,5.9
1451,The Kids Are All Right,7.0
1454,Lapland Odyssey,6.8
1455,The Last Circus,6.5
1456,Life as We Know It,6.5
1458,Little Fockers,
1459,Little White Lies,7.1
1460,Loose Cannons,
1461,Lottery Ticket,5.0
1462,Love & Other Drugs,6.7
1463,Love in a Puff,
1464,Love Scenario,5.7
1465,Middle Men,6.8
1466,Morning Glory,6.5
1467,Mr Nice,6.3
1468,My Dear Desperado,6.8
1469,The Names of Love,7.1
1470,Oki's Movie,6.8
1471,Our Family Wedding,5.0
1472,Perfect Wedding,6.1
1473,Petty Romance,6.3
1475,Please Give,6.6
1476,Potiche,6.4
1477,Rare Exports,6.6
1479,Rose War of Nana,7.3
1480,The Seaside Motel,6.4
1481,Sex and the City 2,4.5
1482,She's Out of My League,6.4
1483,Single Man,7.5
1484,The Sorcerer's Apprentice,6.1
1486,Submarine,7.3
1487,Super,7.1
1488,Super Player,2.0
1489,Swinging with the Finkels,4.6
1490,The Switch,6.1
1491,Tamara Drewe,6.2
1492,Tiny Furniture,6.2
1493,Toy Story 3,8.3
1494,The Trip,6.9
1495,Valentine's Day,5.7
1496,Vampires Suck,3.4
1497,Winter Vacation,6.5
1498,Yogi Bear,4.6
1499,You Again,5.7
1500,You Will Meet a Tall Dark Stranger,6.3
1501,Yuriko's Aroma,5.3
1503,The 33D Invader,
1504,50/50,4.2
1505,Arthur,5.7
1506,"Les aventures de Philibert, Capitaine Puceau",5.0
1507,Bad Teacher,5.6
1508,Bernie,6.8
1509,Beach Spike,4.4
1510,Beginners,7.2
1511,"Big Mommas: Like Father, Like Son",4.4
1512,The Big Year,6.2
1513,Vito Trabucco,
1514,Bridesmaids,6.8
1515,Bucky Larson: Born to Be a Star,3.3
1516,Carnage,5.9
1517,Cars 2,6.2
1518,Cedar Rapids,6.3
1519,The Change-Up,6.3
1520,Couples,5.5
1521,"Crazy, Stupid, Love",7.4
1522,Delhi Belly,7.5
1523,The Descendants,7.3
1524,Don't Go Breaking My Heart,5.4
1525,The Dilemma,5.3
1526,Flypaper,6.3
1527,Friends with Benefits,6.5
1528,From Prada to Nada,5.5
1529,Gnomeo & Juliet,5.9
1530,God Bless America,7.1
1531,A Good Old Fashioned Orgy,6.1
1533,Goon,6.8
1534,The Guard,6.7
1535,Hall Pass,5.9
1536,The Hangover Part II,6.5
1537,Le Havre,7.2
1538,Horrible Bosses,6.9
1539,The Inbetweeners Movie,6.7
1540,Jack and Jill,3.3
1541,Jumping the Broom,5.7
1542,Just Go With It,6.4
1543,Kung Fu Panda 2,7.2
1544,Larry Crowne,6.1
1545,Love in Space,5.6
1546,Love Is Not Blind,
1547,"Love, Wedding, Marriage",4.8
1548,Madea's Big Happy Family,4.8
1549,Monte Carlo,5.8
1550,Mr Popper's Penguins,6.0
1551,The Muppets,7.1
1552,New Year's Eve,5.6
1553,No Strings Attached,6.2
1554,Our Idiot Brother,6.4
1555,Prom,5.3
1557,Salmon Fishing in the Yemen,6.8
1558,Service Entrance,5.9
1559,Slapstick Brothers,6.0
1560,Something Borrowed,5.8
1561,Spy Kids: All the Time in the World,3.5
1562,Sunny,8.8
1563,Take Me Home Tonight,6.3
1564,Terri,6.1
1565,Tower Heist,6.2
1566,A Very Harold & Kumar Christmas,6.2
1567,Win Win,7.1
1568,Young Adult,6.3
1569,Zookeeper,5.2
1570,8 Reels of Sewage,5.8
1572,Ah Boys to Men,6.1
1573,All About My Wife,6.6
1574,"All's Well, Ends Well 2012",7.5
1575,American Reunion,6.7
1576,L'amour dure trois ans,6.1
1577,The Angels' Share,7.0
1578,Any Questions for Ben?,5.6
1579,Behind the Camera: Why Mr E Went to Hollywood,5.9
1580,The Campaign,6.1
1581,Capturing Dad,6.8
1582,Casa de Mi Padre,5.5
1583,Chips,6.4
1584,Cocktail homi adajania,
1585,The Dictator,6.4
1586,Due West: Our Sex Journey,5.3
1587,The Fierce Wife,7.3
1588,The Five-Year Engagement,6.2
1589,Hollywood a Go Go,7.8
1590,The Great Magician,5.9
1591,HOUBA On the Trail of the Marsupilami,5.5
1592,"Istanbul, Here I Come",7.1
1593,"Jeff, Who Lives at Home",6.4
1594,Joyful Noise,5.7
1595,The Kirishima Thing,7.2
1596,Lost in Thailand,6.2
1597,Love in the Buff,6.6
1598,Magic Mike,6.1
1599,Moonrise Kingdom,7.8
1600,My Sassy Hubby,5.7
1601,One for the Money,5.3
1602,The Players various,
1603,Project X,6.7
1604,Robo-G,5.2
1605,Ruby Sparks,7.2
1606,Sad Fairy Tale,5.9
1607,Seven Psychopaths,7.1
1608,Silver Linings Playbook,7.7
1609,The Soul of Bread,
1610,Spring Breakers,5.3
1611,Syndicate,7.3
1612,Ted,8.8
1613,Television,8.1
1614,This Means War,6.3
1615,The Three Stooges,5.1
1616,Tim and Eric's Billion Dollar Movie,5.3
1617,To Rome with Love,6.3
1618,Unpolitical Romance,7.3
1619,Vulgaria,6.3
1620,Wanderlust,5.6
1621,When a Wolf Falls in Love with a Sheep,6.5
1622,21 and Over,5.8
1623,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2.5
1624,A Haunted House,5.0
1625,About Time,7.8
1626,Alan Partridge: Alpha Papa,6.9
1627,Anchorman 2: The Legend Continues,6.3
1628,Austenland,6.3
1629,Better and Better,9.0
1630,Clear History,6.5
1631,Computer Chess,6.2
1632,David Loman,4.1
1633,Don Jon,6.5
1634,Drinking Buddies,6.1
1635,Enough Said,7.0
1636,Fasten Your Seatbelt,6.5
1637,Finding Mr Right,6.4
1638,Forever Love,5.7
1639,Grown Ups 2,5.4
1641,How to Use Guys with Secret Tips,6.4
1642,I Give It a Year,5.7
1643,Identity Thief,5.7
1644,I'm So Excited,5.6
1645,In a World,6.7
1646,The Incredible Burt Wonderstone,5.9
1647,The Internship,6.3
1648,Jackass Presents: Bad Grandpa,6.5
1649,Journey to the West: Conquering the Demons,6.7
1650,The Kings of Summer,7.1
1651,Love Deposit,6.2
1652,Movie 43,4.3
1653,Mr Go,6.7
1654,Nobody's Daughter Haewon,6.7
1655,Prince Avalanche,6.3
1657,Say Yes,6.4
1658,Scary Movie 5,3.5
1659,Shuddh Desi Romance,5.8
1660,Thillu Mullu,8.5
1661,This is the End,6.6
1662,Tiny Times,3.2
1663,Tiny Times 2,5.1
1664,The To Do List,5.8
1665,Warm Bodies,6.8
1666,"The Way, Way Back",7.4
1667,We're the Millers,7.0
1668,Will You Still Love Me Tomorrow?,
1669,About Last Night,6.3
1670,The Biggest Toad in the Puddle,5.4
1671,Birdman,7.7
1672,Chef,7.3
1673,Date and Switch,5.7
1674,A Haunted House 2,4.7
1675,Hot Young Bloods,6.6
1676,How to Fight in Six Inch Heels,7.1
1677,The Hungover Games,3.5
1678,Judge,5.6
1679,Li'l Quinquin,7.3
1680,Love on the Cloud,8.6
1681,Mc Dull: Me & My Mum,6.4
1682,The Midnight After,5.5
1683,A Million Ways to Die in the West,6.1
1684,Muppets Most Wanted,6.4
1685,My Hawaiian Discovery,5.9
1686,My Old Classmate,5.5
1687,Neighbors,6.3
1688,Obvious Child,6.7
1689,Old Boys: The Way of the Dragon,7.2
1690,The Other Woman,6.0
1691,The Plan Man,6.3
1693,Santa Barbara,5.7
1694,Tammy,4.9
1695,The Teacher's Diary,7.8
1696,Temporary Family,5.5
1697,That Awkward Moment,6.1
1698,Tiny Times 3,3.0
1699,Town of the Dragon,8.5
1700,Trailer Park Boys: Don't Legalize It,7.3
1701,The Truth About Beauty,
1702,Virados do Avesso,4.1
1703,Walk of Shame,6.0
1704,"What We Do in the Shadows jemaine clement,taika waititi",8.6
1705,Who Moved My Dream,6.9
1706,12 Golden Ducks,4.7
1707,20 Once Again,6.5
1708,Accidental Love,4.1
1710,April Fools,6.1
1711,Banglaman,6.7
1712,The Big Short,7.8
1713,Chigasaki Story,6.2
1714,The Duff,6.4
1715,Entourage,8.4
1716,Focus,6.6
1717,Get Hard,6.0
1718,Haruko's Paranormal Laboratory,5.7
1719,Home Sweet Hell,5.5
1720,Hot Pursuit,5.1
1721,Hot Tub Time Machine 2,5.0
1724,Paul Blart: Mall Cop 2,4.4
1725,Pitch Perfect 2,6.4
1726,Results,5.5
1727,"S for Sex, S for Secret",5.0
1728,Saving Christmas,5.7
1729,The Second Best Exotic Marigold Hotel,6.5
1731,The Tale of Nishino,7.9
1732,Twenty,8.6
1733,Unforgettable Blast,7.6
1734,The Wedding Ringer,6.6
1735,Amateur Night,5.1
1736,The Angry Birds Movie,6.4
1737,Boo A Madea Halloween,4.6
1738,Dirty Grandpa,5.9
1739,Donald Trump's The Art of the Deal: The Movie,5.9
1740,Fifty Shades of Black,3.5
1741,Finding Dory,7.2
1742,"Hail, Caesar",6.3
1743,Grimsby,6.2
1744,Kapoor & Sons,7.7
1746,Kung Fu Panda 3,7.1
1747,Mike and Dave Need Wedding Dates,6.0
1748,Norm of the North,3.4
1749,Quo Vado?,6.6
1751,The Secret Life of Pets,6.5
1752,Trolls,5.9
1753,Velainu Vandhutta Vellaikaaran,5.9
1754,What a Wonderful Family,4.5
1755,The Boss Baby,6.3
1756,Captain Underpants: The First Epic Movie,6.2
1757,Cars 3,6.7
1758,Diary of a Wimpy Kid: The Long Haul,4.3
1759,Ferdinand,6.7
1760,How to Be a Latin Lover,6.0
1761,Pitch Perfect 3,5.8
1762,Skin: The Movie,6.3
1763,Spark,4.4
1764,T2 Trainspotting,7.2
1765,Blockers,6.2
1766,Book Club,6.1
1767,The Death of Stalin,7.2
1768,Game Night,6.9
1769,Gringo,6.1
1770,Hello Mr Billionaire,6.1
1771,I Feel Pretty,5.6
1772,Life of the Party,5.6
1773,"Love, Simon",7.5
1774,Monster Family,4.8
1775,Overboard,6.9
1776,The Samuel Project,7.4
1777,Sherlock Gnomes,5.2
1778,Show Dogs,3.9
1779,Super Troopers 2,6.0
1780,Tully,6.9
1781,The Angry Birds Movie 2,6.4
1782,The Lego Movie 2: The Second Part,6.6
1783,The Upside,7.0
1784,100 Girls,5.8
1785,101 Reykjavik,6.8
1786,28 Days,7.5
1787,Les acteurs,5.9
1788,Almost Famous,7.9
1789,Barking Dogs Never Bite,6.9
1790,Bedazzled,6.1
1791,Best in Show,7.4
1792,Big Momma's House,5.2
1793,Billy Elliot,7.7
1794,Bread and Tulips,7.3
1795,Bring It On,6.1
1796,Cecil B Demented,6.2
1798,Chuck & Buck,6.6
1799,Committed,5.1
1800,Company Man,6.6
1801,Coyote Ugly,5.7
1802,Devils on the Doorstep,8.2
1803,The Dish,7.2
1804,Down to You,5.0
1805,Drowning Mona,5.7
1806,Dr Seuss' How the Grinch Stole Christmas,6.3
1807,Dr T & the Women,4.7
1808,"Dude, Where's My Car?",5.5
1809,Duets,6.1
1810,The Flintstones in Viva Rock Vegas,3.7
1811,The Foul King,6.9
1812,Greenfingers,6.8
1813,"Harry, He's Here to Help",7.1
1814,High Fidelity,7.4
1815,In July,7.6
1816,The Ladies Man,5.2
1817,Little Nicky,5.3
1818,Little Otik,7.3
1819,Loser,5.3
1820,Lucky Numbers,5.1
1821,"Me, Myself & Irene",6.6
1822,Meet the Parents,7.0
1823,Miss Congeniality,6.3
1824,Needing You,6.8
1825,Next Friday,6.1
1826,Nurse Betty,6.3
1827,The Original Kings of Comedy,6.8
1828,La Perdicion de los hombres,6.7
1829,Playing Mona Lisa,5.8
1830,Ready to Rumble,5.3
1831,The Replacements,6.6
1832,The Road to El Dorado,6.9
1833,Road Trip,6.5
1834,Screwed,5.6
1836,Small Time Crooks,6.6
1837,Snatch,8.2
1838,Snow Day,5.1
1839,Songs from the Second Floor,7.5
1840,The Specials,7.4
1841,State and Main,6.7
1842,The Taste of Others,
1843,Together,5.9
1844,The Whole Nine Yards,6.7
1845,Wild Zero,6.3
1846,Wonder Boys,7.2
1847,Just Sue Me,3.7
1848,The 51st State,6.3
1850,Amelie,8.3
1851,America's Sweethearts,5.7
1852,American Desi,6.6
1853,American Pie 2,6.4
1854,The Animal,7.2
1855,Bandits,6.5
1856,Beethoven's 4th,4.1
1857,Bridget Jones's Diary,6.8
1858,The Brothers,7.9
1859,Bubble Boy,5.7
1860,Buffalo Soldiers,6.7
1861,The Cat's Meow,6.4
1862,The Closet,5.5
1863,Corky Romano,4.7
1864,CQ,6.2
1865,Crocodile Dundee in Los Angeles,4.8
1866,The Curse of the Jade Scorpion,6.7
1867,Don't Tempt Me,6.4
1869,Double Whammy,5.7
1870,Dr Dolittle 2,4.7
1871,Elling,7.5
1872,Evolution,6.1
1873,Festival in Cannes,6.0
1874,Freddy Got Fingered,4.6
1875,Get Over It,5.7
1876,Ghost World,7.3
1877,God Is Great and I'm Not,5.2
1878,He Died with a Felafel in His Hand,7.0
1879,Head over Heels,5.4
1880,Heartbreakers,6.2
1881,Hedwig and the Angry Inch,7.7
1882,How High,6.2
1883,Human Nature,6.4
1884,Jay and Silent Bob Strike Back,6.8
1885,Jett Jackson: The Movie,6.1
1886,Joe Dirt,6.0
1887,Joe Somebody,5.5
1888,Josie and the Pussycats,5.6
1889,Just Visiting,5.7
1890,Kate & Leopold,6.4
1891,Kingdom Come,5.5
1892,Lagaan,8.1
1893,Legally Blonde,6.4
1894,Living in Missouri,7.6
1895,The Lost Skeleton of Cadavra,6.8
1896,Lovely & Amazing,6.7
1897,Made,7.1
1898,The Man Who Sued God,6.4
1899,The Man Who Wasn't There,7.5
1900,Max Keeble's Big Move,5.4
1901,Mean Machine,7.1
1902,Mike Bassett: England Manager,6.8
1903,Monkeybone,4.8
1904,Monsoon Wedding,7.3
1905,Mr Bones,4.7
1906,My Sassy Girl,8.0
1907,No Man's Land,7.9
1908,Not Another Teen Movie,5.8
1909,Novocaine,5.8
1910,One Night at Mc Cool's,6.2
1911,Ocean's Eleven,7.7
1912,Osmosis Jones,6.3
1913,Out Cold,6.2
1915,Les Portes de la gloire,6.3
1916,The Princess Diaries,6.4
1917,Rat Race,6.5
1918,The Royal Tenenbaums,7.6
1919,Saving Silverman,5.8
1920,Say It Isn't So,5.0
1921,See Spot Run,5.4
1922,Series 7: The Contenders,6.5
1923,Shallow Hal,6.0
1924,Sidewalks of New York,6.4
1925,Son of the Bride,4.6
1926,Spy Kids,5.6
1927,Storytelling,6.8
1928,Sugar & Spice,5.7
1929,Summer Catch,5.1
1930,Super Troopers,7.0
1931,Tomcats,5.3
1932,Torrente 2: Mision en Marbella,6.4
1933,La Tour Montparnasse Infernale,5.7
1934,Town & Country,4.5
1935,Two Can Play That Game,6.1
1936,Va savoir,6.9
1937,La Verite si je mens 2,6.3
1938,Visitor Q,6.5
1940,The Wash,4.8
1941,The Wedding Planner,5.3
1942,Wet Hot American Summer,6.5
1943,What's the Worst That Could Happen?,5.4
1944,Y tu mama tambien,7.7
1945,Zoolander,6.5
1946,24 Hour Party People,7.3
1947,40 Days and 40 Nights,5.6
1948,8 Women,7.0
1949,800 Bullets,6.3
1950,About a Boy,7.1
1951,About Schmidt,7.2
1952,Adaptation,7.7
1953,American Girl,3.7
1954,Analyze That,5.9
1955,L'Auberge espagnole,7.3
1956,Austin Powers in Goldmember,6.2
1957,The Banger Sisters,5.7
1958,Barbershop,6.3
1959,Bend It Like Beckham,6.7
1960,Big Fat Liar,5.5
1961,Big Trouble,7.2
1962,Bubba Ho-tep,6.9
1963,Brown Sugar,6.5
1964,Cherish,6.6
1966,Comedian,6.9
1967,Confessions of a Dangerous Mind,7.0
1968,Crackerjack,6.7
1969,Crossroads,3.6
1970,The Cuckoo,8.7
1971,Day of the Wacko,8.1
1972,Death to Smoochy,6.3
1973,Divine Secrets of the Ya-Ya Sisterhood,6.1
1974,Divine Intervention,6.6
1975,Eight Crazy Nights,5.3
1976,Filantropica,8.4
1977,Friday After Next,5.8
1978,FUBAR,6.5
1979,The Good Girl,6.4
1980,He Loves Me He Loves Me Not,
1981,Hollywood Ending,6.5
1982,The Hot Chick,5.5
1983,I Spy,5.4
1984,Igby Goes Down,6.9
1985,The Importance of Being Earnest,6.8
1986,Interstate 60,7.6
1987,Intimate Stories,7.4
1988,Jackass: The Movie,6.6
1989,Juwanna Mann,4.7
1990,Kung Pow Enter the Fist,6.2
1991,Life or Something Like It,5.8
